No,all_ipcs
1,G06T 9/00||H04N 7/26||H04N 7/32||H04N 7/36
2,F41G 7/22||G06K 9/00||G06T 7/20||G08B 13/194||G08B 21/00||G08G 1/04||H04N 17/00
3,G06F 17/20||G06F 17/24||G06F 17/27||G06F 17/28||G06F 17/30||G06Q 10/10||G10L||H04L 12/18||H04L 29/06||H04M 11/10||H04N 21/2368||H04N 21/434||H04N 7/14||H04N 7/15
4,G01B 11/00||G01B 11/14||G01B 11/26||G01C 15/00||G01S 5/16
5,A61B 5/0444||G06F 17/00||G06F 19/00
6,G06F 13/00||H04L 12/18||H04M 3/42||H04M 3/56||H04Q 3/62
7,H03H 21/00||H04B 3/20||H04B 3/23||H04M 9/08
8,G02B 6/34||G02B 6/36||G02F 1/01||G02F 1/335||H04J 14/02||H04Q 11/00
9,G06F 17/27||G06F 17/30
10,G06K 9/36||G06T 7/00
11,A61B 8/00||G01S 15/89||G01S 7/52||G06T 5/00
12,A61B 8/00||G01S 15/89||G01S 7/52||G06T 5/00
13,G01J 3/12||G01J 3/28||G01N 21/31||G01N 21/35
14,G01J 1/20||G02B 7/34||G03B 13/36
15,G01J 1/20||G02B 7/34||G03B 13/36
16,G06T 9/00||H04N 5/14||H04N 7/32
17,G01H 11/08||G08B 13/00||G08B 13/16
18,G10L||G10L 15/02||G10L 15/06||G10L 15/10||G10L 15/14||G10L 17/00
19,G06F 17/27||G06F 17/28||G10L||G10L 13/08
20,G06F 17/28||G10L